transaction_id,account_id,type,amount,balance_after,timestamp,description,status
TXN-20240101-001,ACC-SBI-001,CREDIT,50000.00,50000.00,2024-01-01 09:00:00,Opening Balance,SUCCESS
TXN-20240101-002,ACC-SBI-001,DEBIT,5000.00,45000.00,2024-01-01 10:30:00,Rent Payment,SUCCESS
TXN-20240102-003,ACC-SBI-001,CREDIT,15000.00,60000.00,2024-01-02 12:00:00,Salary Credit,SUCCESS
TXN-20240103-004,ACC-SBI-001,DEBIT,2500.00,57500.00,2024-01-03 14:20:00,Grocery Shopping,SUCCESS
TXN-20240104-005,ACC-SBI-002,CREDIT,100000.00,100000.00,2024-01-04 09:00:00,Opening Balance,SUCCESS
TXN-20240104-006,ACC-SBI-002,DEBIT,25000.00,75000.00,2024-01-04 15:00:00,Supplier Payment,SUCCESS
TXN-20240105-007,ACC-SBI-001,DEBIT,1000.00,56500.00,2024-01-05 11:00:00,Mobile Recharge,SUCCESS
TXN-20240105-008,ACC-SBI-001,CREDIT,2000.00,58500.00,2024-01-05 16:00:00,UPI Transfer Received,SUCCESS
TXN-20240106-009,ACC-SBI-002,DEBIT,10000.00,65000.00,2024-01-06 10:00:00,Equipment Purchase,SUCCESS
TXN-20240107-010,ACC-SBI-001,DEBIT,3500.00,55000.00,2024-01-07 19:30:00,Restaurant Bill,SUCCESS
TXN-20240108-011,ACC-SBI-001,DEBIT,15000.00,40000.00,2024-01-08 08:00:00,EMI Payment,SUCCESS
TXN-20240109-012,ACC-SBI-002,CREDIT,50000.00,115000.00,2024-01-09 12:00:00,Client Payment,SUCCESS
TXN-20240110-013,ACC-SBI-001,DEBIT,500.00,39500.00,2024-01-10 13:00:00,ATM Withdrawal,SUCCESS
TXN-20240110-014,ACC-SBI-001,DEBIT,50000.00,39500.00,2024-01-10 14:00:00,Large Transfer Attempt,FAILED
TXN-20240111-015,ACC-SBI-002,DEBIT,20000.00,95000.00,2024-01-11 09:30:00,Office Rent,SUCCESS
